Date,Open,High,Low,Close*,Adj Close**,Volume
1-Dec-17,"24,305.40","24,876.07","23,921.90","24,719.22","24,719.22","6,589,890,000"
1-Nov-17,"23,442.90","24,327.82","23,242.75","24,272.35","24,272.35","7,335,640,000"
1-Oct-17,"22,423.47","23,485.25","22,416.00","23,377.24","23,377.24","7,302,910,000"
1-Sep-17,"21,981.77","22,419.51","21,709.63","22,405.09","22,405.09","6,342,130,000"
1-Aug-17,"21,961.42","22,179.11","21,600.34","21,948.10","21,948.10","6,150,060,000"
1-Jul-17,"21,392.30","21,929.80","21,279.30","21,891.12","21,891.12","5,569,720,000"
1-Jun-17,"21,030.55","21,535.03","20,994.22","21,349.63","21,349.63","7,214,590,000"
1-May-17,"20,962.73","21,112.32","20,553.45","21,008.65","21,008.65","6,613,570,000"
1-Apr-17,"20,665.17","21,070.90","20,379.55","20,940.51","20,940.51","5,392,630,000"
1-Mar-17,"20,957.29","21,169.11","20,412.80","20,663.22","20,663.22","6,941,970,000"
1-Feb-17,"19,923.81","20,851.33","19,831.09","20,812.24","20,812.24","6,185,580,000"
1-Jan-17,"19,872.86","20,125.58","19,677.94","19,864.09","19,864.09","6,482,900,000"