Date,Open,High,Low,Close,Adj Close,Volume
1/1/20,17.24,19.299999,16.799999,17.860001,17.860001,14284800
2/1/20,18,22.690001,17.219999,21.299999,21.299999,63452400
3/1/20,21.690001,26.280001,15.05,23.48,23.48,66952900
4/1/20,22.9,27.59,21.18,23.559999,23.559999,75939100
5/1/20,23.17,30.780001,22.35,29.07,29.07,107490400
6/1/20,29.139999,38.48,27.290001,35.950001,35.950001,145928300
7/1/20,35.950001,42.597,34.459999,41.619999,41.619999,113673700
8/1/20,42.290001,45.279999,36.040001,38.259998,38.259998,121475200
9/1/20,38.939999,41.77,32.695,41.060001,41.060001,113504300
10/1/20,41.52,61.860001,40.5,51.970001,51.970001,144683900
11/1/20,52.869999,76.769997,50.950001,75.080002,75.080002,127699500
12/1/20,76.800003,88.769997,68.830002,75.989998,75.989998,116857100